handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
suzuki-chikako,"鈴木 千賀子",https://atspect.com/pages/artist/suzuki-chikako,200,ACTIVE,173,true,false,true,true,,""
kano-hogai,"狩野 芳崖",https://atspect.com/pages/artist/kano-hogai,200,ACTIVE,243,false,false,false,false,未取得,"1888"
hashimoto-gaho,"橋本 雅邦",https://atspect.com/pages/artist/hashimoto-gaho,200,ACTIVE,239,false,false,false,false,未取得,"1908"
tomioka-tessai,"富岡 鉄斎",https://atspect.com/pages/artist/tomioka-tessai,200,ACTIVE,248,false,false,false,false,未取得,"1924"
yokoyama-taikan,"横山 大観",https://atspect.com/pages/artist/yokoyama-taikan,200,ACTIVE,373,false,false,false,false,未取得,"1958"
hishida-shunso,"菱田 春草",https://atspect.com/pages/artist/hishida-shunso,200,ACTIVE,254,false,false,false,false,未取得,"1911"
shimomura-kanzan,"下村 観山",https://atspect.com/pages/artist/shimomura-kanzan,200,ACTIVE,244,false,false,false,false,未取得,"1930"
saigo-kogetsu,"西郷 孤月",https://atspect.com/pages/artist/saigo-kogetsu,200,ACTIVE,197,false,false,false,false,未取得,"1912"
kimura-buzan,"木村 武山",https://atspect.com/pages/artist/kimura-buzan,200,ACTIVE,228,false,false,false,false,未取得,"1942"
imamura-shiko,"今村 紫紅",https://atspect.com/pages/artist/imamura-shiko,200,ACTIVE,242,false,false,false,false,未取得,"1916"
omoda-seiju,"小茂田 青樹",https://atspect.com/pages/artist/omoda-seiju,200,ACTIVE,197,false,false,false,false,未取得,"1933"
yasuda-yukihiko,"安田 靫彦",https://atspect.com/pages/artist/yasuda-yukihiko,200,ACTIVE,229,false,false,false,false,未取得,"1978"
maeda-seison,"前田 青邨",https://atspect.com/pages/artist/maeda-seison,200,ACTIVE,258,false,false,false,false,未取得,"1977"
kobayashi-kokei,"小林 古径",https://atspect.com/pages/artist/kobayashi-kokei,200,ACTIVE,221,false,false,false,false,未取得,"1957"
hayami-gyoshu,"速水 御舟",https://atspect.com/pages/artist/hayami-gyoshu,200,ACTIVE,221,false,false,false,false,未取得,"1935"
nakamura-gakuryo,"中村 岳陵",https://atspect.com/pages/artist/nakamura-gakuryo,200,ACTIVE,192,false,false,false,false,未取得,"1969"
kawabata-ryushi,"川端 龍子",https://atspect.com/pages/artist/kawabata-ryushi,200,ACTIVE,234,false,false,false,false,未取得,"1966"
yokoyama-misao,"横山 操",https://atspect.com/pages/artist/yokoyama-misao,200,ACTIVE,202,false,false,false,false,未取得,"1973"
takeuchi-seiho,"竹内 栖鳳",https://atspect.com/pages/artist/takeuchi-seiho,200,ACTIVE,232,false,false,false,false,未取得,"1942"
uemura-shoen,"上村 松園",https://atspect.com/pages/artist/uemura-shoen,200,ACTIVE,207,false,false,false,false,未取得,"1949"
kikuchi-keigetsu,"菊池 契月",https://atspect.com/pages/artist/kikuchi-keigetsu,200,ACTIVE,201,false,false,false,false,未取得,"1955"
nishiyama-suisho,"西山 翠嶂",https://atspect.com/pages/artist/nishiyama-suisho,200,ACTIVE,203,false,false,false,false,未取得,"1958"
tsuchida-bakusen,"土田 麦僊",https://atspect.com/pages/artist/tsuchida-bakusen,200,ACTIVE,210,false,false,false,false,未取得,"1936"
murakami-kagaku,"村上 華岳",https://atspect.com/pages/artist/murakami-kagaku,200,ACTIVE,206,false,false,false,false,未取得,"1939"
ono-chikkyo,"小野 竹喬",https://atspect.com/pages/artist/ono-chikkyo,200,ACTIVE,203,false,false,false,false,未取得,"1979"
irie-hako,"入江 波光",https://atspect.com/pages/artist/irie-hako,200,ACTIVE,203,false,false,false,false,未取得,"1948"
